CodigoImovel;TipoImovel;SubTipoImovel;TituloImovel;Endereco;Numero;Complemento;Bairro;CEP;Cidade;UF;AreaTotal;AreaUtil;ValorIPTU;PrecoCondominio;PrecoLocacao;PrecoVenda;Ativo;CategoriaImovel;LocalChave;Publicado;Alarme;AndarAlto;AnoConstrucao;AquecimentoEletrico;AquecimentoGas;ArCondicionado;ArmarioAreaDeServico;ArmarioBanheiro;ArmarioCloset;ArmarioCozinha;ArmarioDormitorioEmpregada;ArmarioQuarto;ArmarioSala;ArmarioSuite;Brinquedoteca;Churrasqueira;Churrasqueiras;circuitointernotv;Condominio;Copa;Despensa;Divisoria;DormitorioEmpregada;elevador;ElevadorDeServico;EscritorioArmario;EspacoLeitura;Interfone;jardim;JardimInverno;LajeTecnica;Lavabo;Lavanderia;Madeira;Mezanino;Piscina;piscina_infantil;Piscinas;PisoCeramica;PisoLaminado;PisoPorcelanato;PisoTacoMadeira;pista_skate;Playground;portal_eletronico;PortaoEletronico;Portaria24h;Portaria24Horas;QtdBanheiros;QtdDormitorios;QtdSalas;QtdSuites;QtdVagas;quadra_tenis;QuadraPoliEsportiva;QuartoServico;Sacada;SalaEstar;SalaFitness;SalaGinastica;SalaJantar;salao_jogos;salao_video_cinema;SalaoFestas;salaogourmet;Sauna;sauna_seca;sauna_umida;Seguranca;ServicoCozinha;SPA;TomadaCarroEletrico;Varanda;Vinilico;UnidadeMetrica;Observacao;ObservacoesInternas
AP0213_SMAI;Apartamento;Apartamento padrão;Apartamento para Locação 2 Quartos, 2 Suites, 50M², CACHAMBI, RIO DE JANEIRO - RJ;Praça Avaí;8;bl i - apto 403;Cachambi;20775-150;Rio de Janeiro;RJ;;50;;395;600;;Ativo;Padrão;;sem anuncio;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;1;2;1;2;0;;;;;;;;;;;;;;;;;;;;;;M²;[Table];Exclusivo: SIM
AP0214_SMAI;Apartamento;Apartamento padrão;Apartamento para Locação 1 Quarto, 1 Suite, 35M², MEIER, RIO DE JANEIRO - RJ;Rua Capitao Resende;206;casa 22 apto 101;Cachambi;20780-190;Rio de Janeiro;RJ;;35;;330;700;;Ativo;Padrão;;sem anuncio;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;0;;;;;;;;;;;;;;;;;;;;1;;M²;[Table];Exclusivo: SIM
AP0215_SMAI;Apartamento;Apartamento padrão;Apartamento para Locação 2 Quartos, 2 Suites, 1 Vaga, 60M², ENGENHO NOVO, RIO DE JANEIRO - RJ;Rua Cadete Polônia;804;apto 808;Sampaio;20961-050;Rio de Janeiro;RJ;;60;573;522;1000;;Ativo;Padrão;;sem anuncio;;;;;;;;;;;;;;;;1;;;;1;;;;;1;;;;;;;;;;;;;1;;;;;;1;1;;;;1;2;1;2;1;;;;;;;;;;;;;;;;;;;;1;;M²;[Table];Exclusivo: SIM
AP0216_SMAI;Apartamento;Apartamento padrão;Apartamento para Locação 3 Quartos, 82M², MEIER, RIO DE JANEIRO - RJ;Rua Medina;309;apto 401;Méier;20735-130;Rio de Janeiro;RJ;82;82;1253;300;1800;;Inativo;Padrão;Imobiliária;sem anuncio;;1;;;1;;;1;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;2;3;1;0;0;;;;;;;;;;;;;;;;;1;;;1;;M²;[Table];Exclusivo: SIM
AP0217_SMAI;Apartamento;Apartamento padrão;Apartamento para Locação 85M², MEIER, RIO DE JANEIRO - RJ;Rua Aristides Caire;172;apto 9;Méier;20775-090;Rio de Janeiro;RJ;;85;10;1000;100;;Ativo;Padrão;;sem anuncio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;M²;[Table];Exclusivo: SIM
AP0218_SMAI;Apartamento;Apartamento padrão;Apartamento para locação, Méier, Rio de Janeiro, RJ;Rua Magalhães Couto;758;apto 402;Méier;20735-180;Rio de Janeiro;RJ;75;75;120;922;1000;;Inativo;Padrão;Imobiliária;sem anuncio;;;;1;;;;1;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;2;2;1;0;1;;;1;;;;;;;;;;;;;;1;;;1;;;[Table];
AP0219_SMAI;Apartamento;Apartamento padrão;Apartamento para Locação, Todos os Santos, Rio de Janeiro, RJ;Rua Getúlio;215;apto 104;Todos os Santos;20775-000;Rio de Janeiro;RJ;50;50;;730;1000;;Inativo;Padrão;Imobiliária;sem anuncio;;;;1;;;;1;;1;;1;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;1;;1;1;1;1;0;1;;;;;;;;;;;;;;;;;1;;;;;;[Table];
AP0220_SMAI;Apartamento;Apartamento padrão;Apartamento para Locação, Todos os Santos, Rio de Janeiro, RJ;Rua Honório;475;apto 201;Todos os Santos;20771-420;Rio de Janeiro;RJ;57;57;62;363;1000;;Inativo;Padrão;Imobiliária;sem anuncio;;;;;1;;;1;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;1;1;1;0;0;;;1;;;;;;;;;;;;;;1;;;;;;[Table];
AP0221_SMAI;Apartamento;Apartamento padrão;Apartamento para locação, Méier, Rio de Janeiro, RJ;Rua Padre Ildefonso Penalba;338;apto 301;Méier;20775-020;Rio de Janeiro;RJ;82;82;80;620;1200;;Inativo;Padrão;Imobiliária;sem anuncio;;;;;1;;;1;;;;;1;;;;;;;;1;;;1;;;;;;;;;;;;;;;1;;;;;1;;;;1;2;2;1;0;1;;;;;;;;;;;;;;;;;1;;;1;;;[Table];
AP0222_SMAI;Apartamento;Apartamento padrão;Apartamento para Locação, Maria da Graça, Rio de Janeiro, RJ;Rua Fernando Esquerdo;261;apto 401;Maria da Graça;20785-370;Rio de Janeiro;RJ;75;75;;540;1200;;Inativo;Padrão;Imobiliária;sem anuncio;;;;;1;;;;;1;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;1;;;2;2;1;0;1;;;1;;;;;;;;;;;;;;1;;;;;;[Table];
AP0223_SMAI;Apartamento;Apartamento padrão;Apartamento para locação, Méier, Rio de Janeiro, RJ;Rua Aristides Caire;280;apto 102;Méier;20775-090;Rio de Janeiro;RJ;94;94;2017;1100;1600;;Inativo;Padrão;Imobiliária;sem anuncio;;;;;1;1;;1;;1;1;1;1;;;;;;;;;;;1;;;;;;;;;;;;1;;1;1;;;;;1;;;;1;2;2;1;1;1;;;1;;;;;;;;1;;;;;;1;;;1;;;[Table];
AP0224_SMAI;Apartamento;Apartamento padrão;Apartamento para locação, Méier, Rio de Janeiro, RJ;Rua Aristides Caire;169;apto 402;Méier;20775-090;Rio de Janeiro;RJ;48;48;;450;1100;;Inativo;Padrão;Imobiliária;sem anuncio;;;;1;;;;1;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;1;2;1;0;0;;;;;;;;;;;;;;;;;1;;;;;;[Table];
AP0225_SMAI;Apartamento;Apartamento padrão;Apartamento à venda, Cachambi, Rio de Janeiro, RJ;Rua Ferreira de Andrade;29;202;Cachambi;20780200;Rio de Janeiro;RJ;;;108;1080;;400000;Ativo;Padrão;;sem anuncio;;;;;;;;;;;;;;;;;;;Edifício Paraná;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;[Table];
AP0226_SMAI;Apartamento;Apartamento padrão;Apartamento para Locação, Cachambi, Rio de Janeiro, RJ;Rua Silva Mourão;85;APTO 210;Cachambi;20771-450;Rio de Janeiro;RJ;57;57;;480;1100;;Inativo;Padrão;Imobiliária;sem anuncio;;;;1;;;;1;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;1;2;1;0;0;;;;;;;;;;;;;;;;;1;;;;;;[Table];
AP0227_SMAI;Apartamento;Apartamento padrão;Apartamento para Locação, Encantado, Rio de Janeiro, RJ;Rua Paituna;74;apto 201;Encantado;20745-040;Rio de Janeiro;RJ;76;76;65;;1200;;Inativo;Padrão;Imobiliária;sem anuncio;;;;1;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;2;2;1;0;0;;;1;;;;;;;;;;;;;;1;;;;;;[Table];
AP0228_SMAI;Apartamento;Apartamento padrão;Apartamento para Locação, Todos os Santos, Rio de Janeiro, RJ;Rua Piauí;33;apto 202;Todos os Santos;20770-130;Rio de Janeiro;RJ;52;52;;200;1200;;Inativo;Padrão;Imobiliária;sem anuncio;;;;1;;;;1;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;1;2;1;0;0;;;;;;;;;;;;;;;;;1;;;;;;[Table];
